Municipality,Cluster,Benefit_Type,Rate_2023,Rate_2024,Rate_2025,Cumulative_Change_Pct,Trend,Z_Score
אבו גוש,3.0,זקנה,913.3333333333334,888.8888888888888,858.5572842998586,-5.997377631402351,↓ יורדת,-2.6346627249824386
אבו סנאן,3.0,זקנה,976.1467889908257,948.3204134366924,959.8689598689598,-1.6675595622964148,→ יציבה,0.1718728368720802
אבו תלול,,זקנה,1324.3243243243244,1205.128205128205,1227.2727272727273,-7.328385899814477,↓ יורדת,
אבטין,,זקנה,1086.4197530864196,1058.139534883721,1058.8235294117646,-2.540106951871653,→ יציבה,
אבן יהודה,8.0,זקנה,942.9783223374175,948.5294117647059,941.0706252811516,-0.2023055049173506,→ יציבה,0.7545629528121018
אבן שמואל,,זקנה,960.5263157894736,914.6341463414634,938.2716049382716,-2.3169288009470623,→ יציבה,
אבני חפץ,,זקנה,1063.8297872340424,892.8571428571429,935.4838709677418,-12.064516129032258,↓ יורדת,
אום אל-פחם,2.0,זקנה,963.9669421487604,944.840409048652,940.4342723004695,-2.441232040160491,→ יציבה,-0.14912143543469952
אום בטין,,זקנה,1424.2424242424242,1314.285714285714,1200.0,-15.74468085106383,↓ יורדת,
אופקים,3.0,זקנה,982.7586206896551,975.7997218358831,965.1754620948299,-1.7891635061401134,→ יציבה,0.31887353666611923
אור יהודה,6.0,זקנה,976.2415148267238,963.956269217629,960.7363962202672,-1.5882461840611866,→ יציבה,0.4692593699477867
אור עקיבא,5.0,זקנה,981.3110181311017,973.6154649947754,973.1008717310086,-0.8366507914819142,→ יציבה,0.8112383373788774
אורנית,8.0,זקנה,924.0759240759241,923.2209737827716,941.0714285714286,1.8391891891891794,→ יציבה,0.7546086348709126
אזור,7.0,זקנה,960.4208416833667,961.5571776155718,949.623352165725,-1.124245648263578,→ יציבה,0.08651769908234044
אחוזת ברק,,זקנה,917.1270718232045,931.578947368421,931.0344827586207,1.5164104694640597,→ יציבה,
אחיעזר,,זקנה,,962.9629629629629,915.8415841584159,,N/A,
אילת,6.0,זקנה,924.2361967392794,924.4432661717922,914.7885540643201,-1.0222108491628803,→ יציבה,-0.41023094416124023
אכסאל,3.0,זקנה,949.8289623717218,948.4425349087004,959.1419816138917,0.9804943427830795,→ יציבה,0.15173408865690724
אל סייד,,זקנה,1222.2222222222224,1086.95652173913,1068.9655172413793,,N/A,
אלון מורה,,זקנה,917.3553719008265,864.6616541353384,896.8253968253969,-2.2379522379522423,→ יציבה,
אלון שבות,,זקנה,920.9726443768998,920.3539823008849,864.406779661017,-6.141970129216311,↓ יורדת,
אליכין,6.0,זקנה,963.6752136752137,934.156378600823,950.3968253968253,-1.3778904022806622,→ יציבה,0.2713490445749884
אלעד,2.0,זקנה,993.2627526467758,979.31654676259,964.3449419568823,-2.9113958630619505,→ יציבה,0.21045512270715402
אלעזר,,זקנה,909.090909090909,860.0,816.9934640522875,-10.130718954248362,↓ יורדת,
אלפי מנשה,8.0,זקנה,953.7512846865365,936.7088607594936,942.6934097421204,-1.1594086552712124,→ יציבה,0.8468485652600988
אלקנה,7.0,זקנה,946.078431372549,946.7741935483871,948.96331738437,0.3049309566898981,→ יציבה,0.03627786370595626
אעבלין,3.0,זקנה,983.9228295819936,970.7955689828801,981.9219790675547,-0.20335441502957108,→ יציבה,0.7827854713680157
אפרת,6.0,זקנה,758.3710407239819,763.0922693266833,772.2929936305733,1.8357706398309666,→ יציבה,-3.1377467386934326
אריאל,6.0,זקנה,951.1140671765879,944.0894568690096,950.7892293407614,-0.03415340462693755,→ יציבה,0.2788600712460263
אשדוד,5.0,זקנה,944.4264332414763,937.9941299346889,937.6296142679386,-0.719676910165417,→ יציבה,-1.0719755090914798
אשקלון,5.0,זקנה,961.9338383057659,953.9784786089289,952.7085124677558,-0.9590395379227429,→ יציבה,-0.2714177643039634
באקה אל-גרביה,3.0,זקנה,978.7955894826124,981.3538710985002,972.3589549413101,-0.6576076364120789,→ יציבה,0.5178706218364599
