Branch,Municipality,Entity_Type,Cluster,Pop_2025,Rate_2023,Rate_2024,Rate_2025,Change_23_24_Pct,Change_24_25_Pct,Cumulative_Change_Pct,Trend,Z_Score_Cluster,Small_Pop_Flag,Benefit_Type,Benefit,Cluster_Average_Rate_2025,Gap_from_Cluster_Pct,Operational_Status
ירושלים,אבו גוש,רשות מקומית,3.0,8541.0,41.36400322841001,,13.50293542074364,,,-67.35583027063147,↓ יורדת,-0.1242776194321645,False,אבטלה,דמי אבטלה,14.030651739752772,-3.761167540877403,⚪ תואם אשכול
ירושלים,אבו גוש,רשות מקומית,3.0,8541.0,21.79176755447942,17.15197447147986,14.87279843444227,-21.29149492532019,-13.28812633686799,-31.7503805175038,↓ יורדת,0.6256608981561499,False,הבטחת_הכנסה,הבטחת הכנסה,12.192109103372324,21.987084501470463,🔴 גבוה מהאשכול
ירושלים,אבו גוש,רשות מקומית,3.0,8541.0,713.3333333333334,888.8888888888888,670.4384724186704,24.61059190031151,-24.57567185289958,-6.013298259064908,↓ יורדת,-1.2925142776649987,False,זקנה,קצבת זקנה,774.3594924772294,-13.420255200347395,⚪ תואם אשכול
ירושלים,אבו גוש,רשות מקומית,3.0,8541.0,43.74772147283996,45.58610709117222,51.76211453744494,4.202243125904492,13.54800363610936,18.31956681350955,↑ עולה,0.3640161067026731,False,ילד_נכה,גמלת ילד נכה,46.46122572820504,11.409274564234993,⚪ תואם אשכול
ירושלים,אבו גוש,רשות מקומית,3.0,8541.0,140.619351729124,136.7196771896511,134.293408266011,-2.773213282183854,-1.774630377655507,-4.498629374496548,→ יציבה,-0.6346803183339332,False,ילדים,קצבת ילדים,139.77008537842147,-3.918347118113725,⚪ תואם אשכול
ירושלים,אבו גוש,רשות מקומית,3.0,8541.0,,,1.756234632946962,,,,,-0.1986720687791663,False,מזונות,מזונות,1.824414348900009,-3.737074091428547,⚪ תואם אשכול
ירושלים,אבו גוש,רשות מקומית,3.0,8541.0,5.181347150259067,,4.5662100456621,,,-11.87214611872147,↓ יורדת,-0.9481193402425142,False,ניידות,קצבת ניידות,6.35485391504391,-28.14610521805286,🔵 נמוך מהאשכול
ירושלים,אבו גוש,רשות מקומית,3.0,8541.0,47.83708880588022,47.82815096131024,47.5354173984311,-0.0186839224398606,-0.6120528538014031,-0.6306224207607686,→ יציבה,0.2690367624953962,False,נכות,נכות כללית,45.05255310094902,5.511040166622166,⚪ תואם אשכול
ירושלים,אבו גוש,רשות מקומית,3.0,8541.0,440.0,456.7901234567901,455.4455445544555,3.815937149270483,-0.2943537597002905,3.510351035103515,→ יציבה,-0.2368814859208944,False,סיעוד,גמלת סיעוד,488.8378380622278,-6.830955156855412,⚪ תואם אשכול
נהריה,אבו סנאן,רשות מקומית,3.0,14696.0,40.27592345349355,,17.15869125013322,,,-57.39715001210017,↓ יורדת,0.7366558316213613,False,אבטלה,דמי אבטלה,14.030651739752772,22.29432793572828,🔴 גבוה מהאשכול
נהריה,אבו סנאן,רשות מקומית,3.0,14696.0,24.47708055184691,19.92420140768814,16.19950975167857,-18.60058079440863,-18.69430839306978,-33.81763925086955,↓ יורדת,0.9353093847283274,False,הבטחת_הכנסה,הבטחת הכנסה,12.192109103372324,32.8688056703643,🔴 גבוה מהאשכול
נהריה,אבו סנאן,רשות מקומית,3.0,14696.0,727.5229357798165,948.3204134366924,731.3677313677314,30.349211935182186,-22.877571651413607,0.5284775776579063,→ יציבה,-0.5347086183784283,False,זקנה,קצבת זקנה,774.3594924772294,-5.551912455023239,⚪ תואם אשכול
נהריה,אבו סנאן,רשות מקומית,3.0,14696.0,28.91859052247873,29.46906965416463,34.70185728250244,1.90354758561972,17.75688099335127,19.99843925840129,↑ עולה,-0.8075248647784263,False,ילד_נכה,גמלת ילד נכה,46.46122572820504,-25.31006933500656,🔵 נמוך מהאשכול
נהריה,אבו סנאן,רשות מקומית,3.0,14696.0,135.9825265976185,134.3262998207144,133.6418072945019,-1.217970292466341,-0.5095744668959962,-1.72133829373755,→ יציבה,-0.7101929519136924,False,ילדים,קצבת ילדים,139.77008537842147,-4.384541990746828,⚪ תואם אשכול
נהריה,אבו סנאן,רשות מקומית,3.0,14696.0,1.620517156344677,1.86181216383947,1.973326075122482,,5.989536079356453,,,0.4339208560867181,False,מזונות,מזונות,1.824414348900009,8.162165919833722,⚪ תואם אשכול
נהריה,אבו סנאן,רשות מקומית,3.0,14696.0,8.595786655393505,,8.505715841045182,,,-1.04784841643094,→ יציבה,1.140122874732957,False,ניידות,קצבת ניידות,6.35485391504391,33.84596962818476,🔴 גבוה מהאשכול
נהריה,אבו סנאן,רשות מקומית,3.0,14696.0,49.39054463467907,49.7862363811888,50.35383777898748,0.8011487814853988,1.140076935024431,1.950359428982774,→ יציבה,0.5744335154733556,False,נכות,נכות כללית,45.05255310094902,11.766890693541612,⚪ תואם אשכול
נהריה,אבו סנאן,רשות מקומית,3.0,14696.0,341.2844036697248,328.1653746770025,338.2473382473383,-3.84401655969551,3.072220395055083,-0.8898928253766867,→ יציבה,-1.068273473141887,False,סיעוד,גמלת סיעוד,488.8378380622278,-30.80581904458053,🔵 נמוך מהאשכול
באר שבע,אבו תלול,רשות מקומית,,3091.0,19.71830985915493,,13.27088212334114,,,,,,False,אבטלה,דמי אבטלה,,,⚪ ללא סיווג
באר שבע,אבו תלול,רשות מקומית,,3091.0,89.2018779342723,67.23404255319149,57.76736924277908,-24.62709966405376,-14.08017865789187,-35.23973869098977,↓ יורדת,,False,הבטחת_הכנסה,הבטחת הכנסה,,,⚪ ללא סיווג
באר שבע,אבו תלול,רשות מקומית,,3091.0,756.7567567567568,1205.128205128205,750.0,59.24908424908424,-37.76595744680851,-0.8928571428571449,→ יציבה,,False,זקנה,קצבת זקנה,,,⚪ ללא סיווג
באר שבע,אבו תלול,רשות מקומית,,3091.0,35.09891512444161,36.90260133091349,45.30011325028313,5.138865973711702,22.75588066019345,29.06414084217028,↑ עולה,,False,ילד_נכה,גמלת ילד נכה,,,⚪ ללא סיווג
באר שבע,אבו תלול,רשות מקומית,,3091.0,127.3885350318471,128.0083711196372,126.1727596247169,0.4865713289151992,-1.433977699165238,-0.9543836945972144,→ יציבה,,False,ילדים,קצבת ילדים,,,⚪ ללא סיווג
באר שבע,אבו תלול,רשות מקומית,,3091.0,,,,,,,,,False,מזונות,מזונות,,,⚪ ללא סיווג
באר שבע,אבו תלול,רשות מקומית,,3091.0,,,,,,,,,False,ניידות,קצבת ניידות,,,⚪ ללא סיווג
באר שבע,אבו תלול,רשות מקומית,,3091.0,22.10565754964406,24.06696895709801,24.26399223552248,8.872440926262014,0.8186459989028521,9.763720807812728,↑ עולה,,False,נכות,נכות כללית,,,⚪ ללא סיווג
באר שבע,אבו תלול,רשות מקומית,,3091.0,459.4594594594595,512.8205128205128,568.1818181818182,,10.79545454545456,,,,False,סיעוד,גמלת סיעוד,,,⚪ ללא סיווג
חיפה,אבטין,רשות מקומית,,2977.0,40.51772650534609,,11.04972375690608,,,-72.72866789441376,↓ יורדת,,False,אבטלה,דמי אבטלה,,,⚪ ללא סיווג
חיפה,אבטין,רשות מקומית,,2977.0,16.31963984243106,14.62317210348706,10.49723756906077,,-28.21504462388438,,,,False,הבטחת_הכנסה,הבטחת הכנסה,,,⚪ ללא סיווג
חיפה,אבטין,רשות מקומית,,2977.0,796.2962962962963,1058.139534883721,796.7914438502673,32.88263926446727,-24.698830581183522,0.06218132073124654,→ יציבה,,False,זקנה,קצבת זקנה,,,⚪ ללא סיווג
חיפה,אבטין,רשות מקומית,,2977.0,61.22448979591837,67.2782874617737,79.59183673469387,9.887869520897048,18.30241187384043,29.99999999999999,↑ עולה,,False,ילד_נכה,גמלת ילד נכה,,,⚪ ללא סיווג
חיפה,אבטין,רשות מקומית,,2977.0,135.6628982528263,135.7898328215626,136.7148135707088,0.0935661631669763,0.6811855717958264,0.7753890941663792,→ יציבה,,False,ילדים,קצבת ילדים,,,⚪ ללא סיווג
חיפה,אבטין,רשות מקומית,,2977.0,,,,,,,,,False,מזונות,מזונות,,,⚪ ללא סיווג
חיפה,אבטין,רשות מקומית,,2977.0,6.509078451524495,,6.046355391333558,,,,,,False,ניידות,קצבת ניידות,,,⚪ ללא סיווג
חיפה,אבטין,רשות מקומית,,2977.0,56.5262076053443,58.34186284544524,59.11991938192811,3.212059179305853,1.333616203760992,4.588511924756461,→ יציבה,,False,נכות,נכות כללית,,,⚪ ללא סיווג
חיפה,אבטין,רשות מקומית,,2977.0,370.3703703703703,377.9069767441861,347.5935828877006,2.034883720930266,-8.021390374331562,-6.149732620320837,↓ יורדת,,False,סיעוד,גמלת סיעוד,,,⚪ ללא סיווג
נתניה,אבן יהודה,רשות מקומית,8.0,14374.0,31.63114863959255,,17.56395570828561,,,-44.47259595783097,↓ יורדת,0.5775848359512715,False,אבטלה,דמי אבטלה,16.679952635173898,5.29979366516647,⚪ תואם אשכול
נתניה,אבן יהודה,רשות מקומית,8.0,14374.0,,,,,,,,,False,הבטחת_הכנסה,הבטחת הכנסה,2.278639407417711,,⚪ ללא סיווג
נתניה,אבן יהודה,רשות מקומית,8.0,14374.0,902.9217719132894,948.529411764706,905.5330634278002,5.051117524253967,-4.532948351797812,0.2892046238931138,→ יציבה,0.6332218204242382,False,זקנה,קצבת זקנה,893.8575585421386,1.3061930029102344,⚪ תואם אשכול
נתניה,אבן יהודה,רשות מקומית,8.0,14374.0,31.43507972665148,33.34105116925215,41.91895668374476,6.063199009432555,25.72775966464832,33.35088394321703,↑ עולה,-1.11797661396161,False,ילד_נכה,גמלת ילד נכה,51.81203745751874,-19.09417436418212,🔵 נמוך מהאשכול
נתניה,אבן יהודה,רשות מקומית,8.0,14374.0,137.0500250483075,135.0795002839296,134.5484903297621,-1.437814231470077,-0.3931092083190836,-1.82527125964673,→ יציבה,0.3059906290038539,False,ילדים,קצבת ילדים,132.22136427023833,1.7600227258036163,⚪ תואם אשכול
נתניה,אבן יהודה,רשות מקומית,8.0,14374.0,,,,,,,,,False,מזונות,מזונות,0.3524140952742657,,⚪ ללא סיווג
